Артикул;Название;Цена;Остаток
8694;Сварочный полуавтомат Алмаз MIG 160 SYNERGY;;99
8656;Сварочный полуавтомат Алмаз MIG 180 SYNERGY;;99
8756;Сварочный полуавтомат СВАРИС 200 Комби SYNERGY;16970;99
8464;Сварочный полуавтомат EXPERT MIG 200 SYN;27240;99
6351;Сварочный полуавтомат СВАРИС 200 Комби в кейсе;24100;9
5996;Аппарат аргонодуговой сварки TIG 165 DC (пр-во FoxWeld/КНР);22074;0
5997;Аппарат аргонодуговой сварки TIG 185 DC (пр-во FoxWeld/КНР);;0
6120;Аппарат для сварки пластиковых труб FoxPlastic 2500 ZJM;4990;99
6115;Аппарат для сварки пластиковых труб FoxPlastic 900;1390;9
6116;Аппарат для сварки пластиковых труб FoxPlastic 1200 ZJM;1460;9
6119;Аппарат для сварки пластиковых труб FoxPlastic 2200 ZJM;2630;99
4786;FoxWeld Аппарат для сварки пластиковых труб FoxPlastic 1800 (пр-во FoxWeld/КНР);2180;99
4279;FoxWeld Аппарат для сварки пластиковых труб FoxPlastic 1600 (пр-во FoxWeld/КНР);1500;99
5384;Угольник магнитный FIX-3 (45/90/135град, до 11кг);229;99
5153;Угольник магнитный FIX-4 (45/90/135град, до 22кг);326;99
5385;Угольник магнитный FIX-5 (45/90/135град, до 34кг);572;99
6005;Угольник магнитный FIX-6 (пр-во FoxWeld/КНР);935;99
6006;Угольник магнитный FIX-7 (пр-во FoxWeld/КНР);405;99
5393;Угольник магнитный FIX-3Pro (пр-во FoxWeld/КНР);211;99
5394;Угольник магнитный FIX-4Pro 30/45/60/75/90/135град, до 22кг;353;99
5395;Угольник магнитный FIX-5Pro (пр-во FoxWeld/КНР);608;99
5397;Клемма заземления магнитная МКЗ-200;232;99
5398;Клемма заземления магнитная МКЗ-400Р (пр-во FoxWeld/КНР);635;99
5387;Угольник магнитный SHIFT-3 отключаемый (45/90/135град, до 13кг);2055;99
5389;Угольник магнитный SHIFT-4 отключаемый (пр-во FoxWeld/КНР);2070;99
5388;Угольник магнитный SHIFT-6 отключаемый (пр-во FoxWeld/КНР);3083;99
5390;Угольник магнитный SHIFT-7 отключаемый (пр-во FoxWeld/КНР);3200;99
5401;Телескопическое зеркало диам. 5см (пр-во FoxWeld/КНР);272;99
5396;Набор приспособлений д/сварки MULTI-3 (пр-во FoxWeld/КНР);476;99
5392;Набор приспособлений д/сварки MULTI-6 (пр-во FoxWeld/КНР);1331;99
5391;Набор угольников магнитных FIX KIT-4 4шт/комплект, 45/90/135град, усилие 4 х 4кг;487;99
5400;Набор магнитных тарелок FIXCAP-4 (пр-во FoxWeld/КНР);565;99
5399;Магнитный держатель сварочной горелки (пр-во FoxWeld/КНР);797;99
5386;Держатель магнитный TWIN шарнирный (двойной, 0-360 град, усилие 2 х 22кг);901;99
4415;Редуктор FoxWeld BH600-He (гелиевый, 1 манометр, вентиль, пр-во FoxWeld/КНР);1754;0
4423;Редуктор FoxWeld  GRE-3000 (ацетиленовый, 2 манометра, вентиль, пр-во FoxWeld/КНР);;0
4428;Редуктор БКО-50-СВ-АЛ (кислородный, 2 манометра);1271;0
4425;Редуктор БКО-50-СВ (кислородный, 2 манометра);1527;0
4422;Редуктор FoxWeld GRE-2000 (пропановый, 1 манометр, вентиль, пр-во FoxWeld/КНР);10263;1
5898;Редуктор FoxWeld  БПО-5-СВ-М (пропановый, 1 манометр, пр-во FoxWeld/КНР);1951;0
4429;Редуктор БПО-5-СВ-АЛ (пропановый, 1 манометр);1098;0
4426;Редуктор БПО-5-СВ (пропановый, 1 манометр);1425;99
1351;"Редуктор пропановый с регулятором тип &quot;ЛЯГУШКА&quot; Foxweld (вход. гайка 21.8-14/1&quot;LH, вых. 9мм)";260;0
8336;Редуктор пропановый “лягушка” с регулятором, W21.8, выход - резьба;322;99
8338;Редуктор БПО-5-5 (пропановый, 1 манометр, ЛАТУНЬ);1336;99
8339;Редуктор УР-6-5 (углекислотный, 2 манометра, ЛАТУНЬ);2919;99
8340;Редуктор БКО-50 МИНИ (кислородный, 2 манометра);1139;99
8341;Редуктор БПО-5 МИНИ (пропановый, 1 манометр);922;99
8342;Редуктор УР-6 МИНИ (углекислотный, 2 манометра);1725;99
8344;Редуктор БПО-5-3 (пропановый, 1 манометр);782;99
8345;Редуктор БКО-50-12,5 (кислородный, 2 манометра);1200;99
8337;Редуктор БКО-50-5 (кислородный, 2 манометра, ЛАТУНЬ);1965;99
9745;Редуктор бытовой пропановый РДСГ-1-1,2 ;290;99
6525;Регулятор расхода газа VARTEG УРГ-40 (аргоновый/углекислотный);1327;99
4416;Регулятор FoxWeld WR550 mini (аргоновый/углекислотный, 1 манометр, 1 расходомер стрелочн., пр-во FoxWeld/КНР);1740;99
4414;Регулятор FoxWeld WR500 (аргоновый/углекислотный, 1 манометр, 1 расходомер, вентиль, пр-во FoxWeld/КНР);3066;99
4413;Регулятор FoxWeld WR420-F2 (аргоновый/углекислотный, 1 манометр, 2 расходомера, вентиль, пр-во FoxWeld/КНР);5381;99
4412;Регулятор FoxWeld  WR410-F (аргоновый/углекислотный, 1 манометр, 1 расходомер, вентиль, пр-во FoxWeld/КНР);4329;99
7050;Регулятор VARTEG УРГ-40 (Cu) (аргоновый/углекислотный, 1 манометр, 1 ротаметр, ( вентиль);1379;9
8343;Редуктор АР-40 МИНИ (аргон, 2 манометра);1139;99
8346;Регулятор расхода газа У-30/АР-40-2P (универсальный, 1 манометр);2432;99
8347;Регулятор расхода газа У-30/АР-40-1P-36В (универсальный, 1 манометр, подогреватель);2727;99
8348;Регулятор расхода газа У-30/АР-40-1P-230В (универсальный, 1 манометр, подогреватель);2727;99
8354;Регулятор расхода газа У-30/АР-40-1P (универсальный, 1 манометр, латунь);2899;99
8355;Регулятор расхода газа У-30/АР-40-1P-36В (универсальный, 1 манометр, подогреватель, латунь);3788;99
8356;Регулятор расхода газа У-30/АР-40-1P-230В (универсальный, 1 манометр, подогреватель, латунь);3789;9
6646;Рукав резиновый для газовой сварки (I класс, красный) d=9мм, бухта 10м;922;99
1446;Рукав кислородный д.6.3мм черный (бухта 40м, 3 кл);57;99
6670;Рукав резиновый для кислорода (III класс, синий) d=9мм, бухта 5м;464;99
6669;Рукав резиновый для газовой сварки (I класс, красный) d=9мм, бухта 5м;464;99
6647;Рукав резиновый для кислорода (III класс, синий) d=9мм, бухта 10м;922;0
9204;Рукав кислородный д.9.0мм черный (бухта 40м, 3 кл);115;0
1445;Рукав д.9.0мм синий (бухта 40 метров, пр-во FoxWeld/КНР);86;99
1443;Рукав д.9.0мм красный (бухта 40 метров, пр-во FoxWeld/КНР);85;99
1441;Рукав д.6.3мм синий (бухта 40 метров, пр-во FoxWeld/КНР);59;99
1440;Рукав д.6.3мм красный (бухта 40 метров, пр-во FoxWeld/КНР);59;99
1447;Рукав кислородный д.9.0мм черный (бухта 40м, 3 кл);3306;99
6588;Набор паяльный VARTEG ГВП-400К;1417;99
6589;Набор кровельный VARTEG ГВП-450КР;1584;0
5087;Набор паяльный СВАРИС ГВП-400К;1173;0
7039;Подогреватель Foxweld углекислотный ПГС-36В (пр-во FoxWeld/КНР);2071;0
4431;Подогреватель FoxWeld  углекислотный ПГС-220В (пр-во FoxWeld/КНР);3143;0
4472;Набор для чистки наконечников FoxWeld TC-04 ;138;99
4483;Foxweld Зажигалка для газосварки L2 (пр-во FoxWeld/КНР);134;99
5152;"Переходник для больших  газовых баллонов W21,8LH-M16*1.5 &quot;папа&quot; (в блистере)";237;9
5457;Переходник для малых газовых баллонов с цангового на резьбовой epi-gas;217;99
4712;FoxWeld Манометр для регулятора WR420-F2 (аргон/углекислота) ВД (пр-во FoxWeld/КНР);313;9
7027;Расходомер для регулятора VARTEG УРГ-40;520;99
6003;Foxweld Клапан огнепреградительный КИСЛОРОД (пр-во FoxWeld/КНР);528;99
6004;Foxweld Клапан огнепреградительный ГАЗ (пр-во FoxWeld/КНР);528;99
4713;FoxWeld Манометр для редуктора WR500 (аргон/углекислота) ВД (пр-во FoxWeld/КНР);304;9
4924;FoxWeld Манометр для редуктора WR500 (аргон/углекислота) НД (пр-во FoxWeld/КНР);304;9
4714;FoxWeld Манометр для регулятора WR550 mini (аргон/углекислота) ВД (пр-во FoxWeld/КНР);255;9
4925;FoxWeld Манометр для регулятора WR550 mini (аргон/углекислота) НД (пр-во FoxWeld/КНР);264;9
8349;Манометр 25 МПа (кислородный, латунь);265;99
8350;Манометр 2,5 МПа (кислородный, латунь);265;99
8351;Манометр 0,6 МПа (пропановый, латунь);265;99
8352;Ротаметр, гайка М16х1,5 (универсальный);408;99
8353;Ротаметр двойной, гайка М16х1,5 (универсальный);889;99
8357;Подогреватель газов ПГ-1-36В (латунь);1288;99
8358;Подогреватель газов ПГ-1-230В (латунь);1288;99
8359;Ниппель 6/9мм, универсальный;50;9
8360;Соединитель 6/9, универсальный, неразъёмный;128;99
8361;Прокладка полиуретановая к БКО (кислородная, нейлон);25;0
8362;Прокладка полиуретановая к БПО (пропановая, нейлон);20;99
8363;Гайка накидная М16х1,5 (универсальная, латунь);92;99
8364;Гайка накидная М16х1,5LH (универсальная, латунь);92;99
8365;Гайка накидная М12х1,25 (универсальная, латунь);83;99
8366;Гайка накидная М12х1,25LH (универсальная, латунь);83;99
6211;Бензиновый генератор Varteg G6500;51320;9
6179;Бензиновый генератор Varteg G2500;19711;0
5822;Бензиновый генератор Varteg G7500E;64149;99
5821;Бензиновый генератор Varteg G6500 E;54819;99
5820;Бензиновый генератор Varteg G3500E;27100;99
5819;Бензиновый генератор Varteg G3500;20994;99
5817;Электростанция бензиновая Varteg G950, Китай;11546;99
7240;Бензиновый генератор FoxWeld Standart G3500 E;30559;99
7241;Бензиновый генератор FoxWeld Standart G6500 ;53652;0
7242;Бензиновый генератор FoxWeld Standart G6500 E;57152;9
7243;Бензиновый генератор FoxWeld Expert G3700 ;33390;99
7244;Бензиновый генератор FoxWeld Expert G3700 E;37757;99
7245;Бензиновый генератор FoxWeld Expert G7500 EW;73000;99
7246;Бензиновый генератор FoxWeld Expert G8500 EW;79235;0
7247;Бензиновый генератор FoxWeld Expert G9500 EW;92000;9
7239;Бензиновый генератор FoxWeld Standart G3500 ;27500;99
8221;Бензиновый генератор FoxWeld Expert G8500 EW в компл. с блоком автоматики;97548;9
8222;Бензиновый генератор FoxWeld Expert G9500 EW в компл. с блоком автоматики;107877;9
7863;Бензиновый генератор FoxWeld Expert G9500-3;89504;9
7864;Бензиновый генератор FoxWeld Expert G9500-3 HP;99322;0
7908;Бензиновый генератор FoxWeld Expert G6500 EW;70205;9
8449;Бензиновый генератор BG-2500;11500;99
5218;Инверторный генератор Foxweld GIN 3700 (пр-во FoxWeld/КНР);77333;9
8451;Бензиновый инверторный генератор VARTEG G1500i;23200;5
8452;Бензиновый инверторный генератор VARTEG G2600i;;0
8454;Бензиновый инверторный генератор VARTEG G3800i;32400;0
8455;Бензиновый инверторный генератор VARTEG G4600i;;0
8457;Бензиновый инверторный генератор VARTEG G5000i;;0
8456;Бензиновый инверторный генератор VARTEG G2300i;;0
5213;Инверторный генератор Foxweld GIN 1200 (пр-во FoxWeld/КНР);29392;9
5214;Инверторный генератор Foxweld GIN 1500 (пр-во FoxWeld/КНР);39656;99
9388;Бензиновый инверторный генератор FOXWELD G4700i;36000;9
6651;Электродвигатель в сборе со шкивом AEROMAX YL-90L-2;12000;9
6650;AERO Электродвигатель в сборе YL-90S-2;7900;9
7049;"AEROMAX Фильтр воздушный в сборе G 1&quot;";530;99
6653;"AEROMAX Фильтр воздушный в сборе G 3/4&quot;";190;99
6656;"AERO Фильтр воздушный в сборе G 1/2&quot;";130;99
5772;"Фильтр-осушитель с внутренней резьбой 1/4&quot; AERO";401;99
5771;"Регулятор давления со встроенным манометром 10 бар, 1/4&quot; AERO";647;9
5770;"Сливная пробка - внешняя резьба 1/4&quot; AERO";79;99
5764;"Реле давления одноступенчатое 1/4&quot; F, 6-8 бар AERO";661;99
5762;"Регулятор давления AERO с манометром и фильтром-осушителем 1/4&quot; F";823;99
5766;"Предохранительный клапан с внешней резьбой 3/8&quot; AERO";241;99
