P ID,Product ID,
1,287634,1
2,225976,1
3,79874,1
4,49076,1
5,3894,1
6,226022,1
7,226019,1
8,226029,1
9,226014,1
10,226018,1
11,226020,1
12,226012,1
13,226016,1
14,226025,1
15,226011,1
16,226013,1
17,226032,1
18,226033,1
19,226027,1
20,226028,1
21,226015,1
22,226010,1
23,226031,1
24,226030,1
25,226023,1
26,226034,1
27,226021,1
28,226017,1
29,226005,1
30,226004,1
31,226006,1
32,225998,1
33,225999,1
34,225997,1
35,225996,1
36,225991,1
37,225990,1
38,225994,1
39,225993,1
40,225992,1
41,225995,1
42,226000,1
43,115666,1
44,116605,1
45,115664,1
46,116606,1
47,226002,1
48,226001,1
49,226009,1
50,226008,1
51,225979,1
52,225982,1
53,225983,1
54,287630,1
55,287629,1
56,287633,1
57,225977,1
58,225975,1
59,225973,1
60,287628,1
61,287626,1
62,225972,1
63,225971,1
64,225970,1
65,225969,1
66,225968,1
67,287631,1
68,287632,1
69,213329,1
70,225604,1
71,225607,1
72,225602,1
73,225601,1
74,225600,1
75,225599,1
76,225598,1
77,225597,1
78,225595,1
79,225593,1
80,225594,1
81,200495,1
82,225592,1
83,225591,1
84,225590,1
85,225589,1
86,225588,1
87,115651,1
88,115660,1
89,115658,1
90,115657,1
91,3908,1
92,115652,1
93,3906,1
94,49077,1
95,225587,1
96,3907,1
97,225586,1
98,115659,1
99,225584,1
100,49072,1
101,225978,1
102,287627,1
103,225981,1
104,225987,1
105,225988,1
106,225603,1
107,114512,1
108,115654,1
109,115655,1
110,115662,1
111,115663,1
112,225583,1
113,287904,1
114,30039,1
115,30040,1
116,30041,1
117,30042,1
118,30043,1
119,30049,1
120,30048,1
121,30047,1
122,30046,1
123,30045,1
124,30044,1
125,242474,1
126,79355,1
127,30062,1
128,30061,1
129,30060,1
130,30059,1
131,30058,1
132,30057,1
133,30056,1
134,30055,1
135,30054,1
136,30053,1
137,30052,1
138,30051,1
139,30050,1
140,226003,1
141,226007,1
142,226026,1
143,226035,1
144,226036,1
145,229093,1
146,242667,1
147,277480,1
148,258428,1
149,276414,1
150,276415,1
151,276573,1
152,242750,1
153,242753,1
154,242754,1
155,230703,1
156,228209,1
157,230702,1
158,59417,1
159,29371,1
160,29370,1
161,29369,1
162,29368,1
163,100264,1
164,29366,1
165,100263,1
166,230701,1
167,29365,1
168,276587,1
169,276584,1
170,276583,1
171,276582,1
172,276581,1
173,242737,1
174,242743,1
175,242734,1
176,242740,1
177,242736,1
178,242742,1
179,242735,1
180,242741,1
181,242733,1
182,242739,1
183,242732,1
184,242738,1
185,29372,1
186,100268,1
187,228010,1
188,228009,1
189,29375,1
190,228011,1
191,29378,1
192,100276,1
193,276577,1
194,276576,1
195,276575,1
196,276578,1
197,276580,1
198,276579,1
199,230699,1
200,230700,1
201,242731,1
202,236189,1
203,236188,1
204,275863,1
205,275865,1
206,275864,1
207,8099,1
208,8097,1
209,79863,1
210,8094,1
211,242495,1
212,242494,1
213,79859,1
214,8091,1
215,242493,1
216,79701,1
217,8090,1
218,8098,1
219,79860,1
220,62356,1
221,79711,1
222,8089,1
223,62353,1
224,79864,1
225,8093,1
226,79861,1
227,79862,1
228,242500,1
229,8100,1
230,79865,1
231,229063,1
232,79873,1
233,79872,1
234,79871,1
235,79869,1
236,79868,1
237,79867,1
238,79866,1
239,79870,1
240,229785,1
241,229786,1
242,229787,1
243,229788,1
244,8102,1
245,107454,1
246,107453,1
247,107452,1
248,276804,1
249,227974,1
250,227985,1
251,227984,1
252,227983,1
253,227982,1
254,227981,1
255,227980,1
256,227977,1
257,227976,1
258,227975,1
259,62350,1
260,79891,1
261,62349,1
262,79890,1
263,98937,1
264,98927,1
265,242488,1
266,98931,1
267,98928,1
268,98924,1
269,98933,1
270,98925,1
271,242487,1
272,98930,1
273,98926,1
274,8084,1
275,8083,1
276,62348,1
277,79887,1
278,8082,1
279,79886,1
280,8081,1
281,79885,1
282,242485,1
283,79703,1
284,79884,1
285,79888,1
286,8080,1
287,79881,1
288,8079,1
289,79880,1
290,8078,1
291,79879,1
292,8077,1
293,79878,1
294,8076,1
295,79877,1
296,79704,1
297,79876,1
298,62352,1
299,79947,1
300,242498,1
301,230241,1
302,98948,1
303,98946,1
304,242489,1
305,98978,1
306,98979,1
307,98947,1
308,242490,1
309,8088,1
310,8087,1
311,8085,1
312,79892,1
313,242486,1
314,62347,1
315,242491,1
316,213384,1
317,242492,1
318,98943,1
319,98942,1
320,98941,1
321,96098,1
322,98940,1
323,98939,1
324,236598,1
325,236597,1
326,236596,1
327,236561,1
328,236595,1
329,236594,1
330,236593,1
331,230324,1
332,47908,1
333,47907,1
334,242497,1
335,8075,1
336,8074,1
337,79702,1
338,8071,1
339,229560,1
340,8073,1
341,275026,1
342,242496,1
343,229559,1
344,8101,1
345,276805,1
346,276806,1
347,276807,1
348,79875,1
349,47909,1
350,242499,1
351,228377,1
352,47910,1
353,275866,1
354,276808,1
355,226052,1
356,226051,1
357,226050,1
358,226053,1
359,174561,1
360,174560,1
361,174559,1
362,174566,1
363,174565,1
364,174556,1
365,226106,1
366,226105,1
367,174558,1
368,174557,1
369,226104,1
370,226103,1
371,226102,1
372,174555,1
373,174554,1
374,226099,1
375,226098,1
376,226097,1
377,226101,1
378,226100,1
379,175510,1
380,174568,1
381,174567,1
382,175512,1
383,175511,1
384,226095,1
385,226094,1
386,226093,1
387,226096,1
388,226133,1
389,226132,1
390,226131,1
391,226134,1
392,226129,1
393,226128,1
394,226127,1
395,226130,1
396,226125,1
397,226124,1
398,226123,1
399,226126,1
400,226121,1
401,226120,1
402,226119,1
403,226122,1
404,226117,1
405,226116,1
406,226115,1
407,226118,1
408,226113,1
409,226112,1
410,226111,1
411,226114,1
412,226109,1
413,226108,1
414,226107,1
415,226110,1
416,174541,1
417,174540,1
418,174546,1
419,174545,1
420,174544,1
421,174543,1
422,174542,1
423,174532,1
424,174539,1
425,174538,1
426,174537,1
427,174536,1
428,174535,1
429,97575,1
430,97574,1
431,174531,1
432,174530,1
433,174529,1
434,174528,1
435,168034,1
436,97568,1
437,97567,1
438,97573,1
439,97572,1
440,97571,1
441,97570,1
442,97569,1
443,174547,1
444,174552,1
445,174551,1
446,174550,1
447,174549,1
448,174548,1
449,226170,1
450,226168,1
451,226169,1
452,226166,1
453,226167,1
454,226165,1
455,226171,1
456,226164,1
457,175519,1
458,176830,1
459,226163,1
460,226161,1
461,226160,1
462,226159,1
463,226162,1
464,175517,1
465,175516,1
466,175515,1
467,175514,1
468,175513,1
469,226158,1
470,226157,1
471,176829,1
472,176828,1
473,176827,1
474,175520,1
475,226054,1
476,226057,1
477,226056,1
478,226055,1
479,226071,1
480,226070,1
481,226069,1
482,226068,1
483,226079,1
484,226076,1
485,226078,1
486,226075,1
487,226080,1
488,226077,1
489,226074,1
490,226073,1
491,226072,1
492,226085,1
493,226086,1
494,226083,1
495,226084,1
496,226081,1
497,226082,1
498,226091,1
499,226090,1
500,226089,1
501,226088,1
502,226087,1
503,226038,1
504,226037,1
505,226040,1
506,226039,1
507,275330,1
508,67896,1
509,98929,1
510,100262,1
511,100273,1
512,7946,1
513,8068,1
514,8069,1
515,8070,1
516,29373,1
517,62345,1
518,62346,1
519,62354,1
520,98944,1
521,98945,1
522,174534,1
523,226042,1
524,226043,1
525,226044,1
526,226045,1
527,226046,1
528,226047,1
529,226048,1
530,226049,1
531,226092,1
532,226135,1
533,226138,1
534,226139,1
535,226140,1
536,226141,1
537,226142,1
538,226143,1
539,226144,1
540,226145,1
541,226146,1
542,226147,1
543,226148,1
544,226149,1
545,226150,1
546,226151,1
547,226152,1
548,226153,1
549,226154,1
550,226155,1
551,226156,1
552,230322,1
553,242484,1
554,276585,1
555,276809,1
556,276810,1
557,276811,1
558,277525,1
559,277526,1
560,277527,1
561,277528,1
562,277529,1
563,277530,1
564,277531,1
565,277532,1
566,277533,1
567,277534,1
568,277535,1
569,277536,1
570,258494,1
571,1451,1
572,1452,1
573,24306,1
574,24307,1
575,24308,1
576,32,1
577,69,1
578,55,1
579,35,1
580,34,1
581,33,1
582,31,1
583,30,1
584,29,1
585,49,1
586,48,1
587,47,1
588,44,1
589,42,1
590,41,1
591,38,1
592,36,1
593,62,1
597,56,1
598,54,1
599,53,1
600,52,1
601,51,1
602,50,1
603,90,1
604,89,1
605,82,1
606,81,1
607,70,1
608,66,1
609,64,1
610,63,1
611,153,1
612,152,1
613,116,1
614,115,1
615,98,1
616,97,1
617,93,1
618,92,1
619,193,1
620,192,1
621,191,1
622,190,1
623,189,1
625,187,1
626,185,1
627,184,1
628,182,1
629,155,1
630,227,1
631,226,1
632,225,1
633,223,1
634,222,1
635,221,1
636,198,1
637,197,1
638,196,1
639,195,1
640,194,1
641,287,1
642,282,1
643,281,1
644,280,1
645,279,1
646,278,1
647,272,1
648,271,1
649,268,1
650,267,1
651,266,1
652,262,1
653,236,1
654,235,1
655,234,1
656,233,1
657,231,1
658,229,1
659,228,1
660,1624,1
661,1623,1
662,1622,1
663,1621,1
664,1620,1
665,1619,1
666,1617,1
667,1616,1
668,1615,1
669,1612,1
670,1611,1
671,1610,1
672,1606,1
673,1604,1
674,1603,1
675,1602,1
677,1633,1
678,1632,1
679,1631,1
680,1630,1
681,12882,1
682,12881,1
683,12880,1
684,12850,1
686,1640,1
687,3254,1
688,3234,1
689,12849,1
690,225922,1
691,225923,1
692,225924,1
693,225920,1
694,225925,1
695,225919,1
696,225921,1
697,288439,1
698,288440,1
699,288442,1
700,288443,1
701,288444,1
702,288445,1
703,288446,1
704,288447,1
705,288448,1
706,288449,1
707,230719,1
708,230720,1
709,230721,1
710,230722,1
711,230723,1
712,230724,1
713,235005,1
714,235006,1
715,235007,1
716,235008,1
717,235009,1
718,235010,1
719,235011,1
720,235012,1
721,235013,1
722,235014,1
723,235015,1
724,235016,1
725,235017,1
726,235018,1
727,235019,1
728,235020,1
729,235021,1
730,235022,1
731,235023,1
732,235024,1
733,235025,1
734,235026,1
735,235027,1
736,235028,1
737,235029,1
738,235030,1
739,235910,1
740,235911,1
741,235912,1
742,235913,1
743,235914,1
744,236169,1
745,236170,1
746,236171,1
747,236172,1
748,236173,1
749,236174,1
750,236175,1
751,236176,1
752,236177,1
753,236178,1
754,236179,1
755,236180,1
756,236181,1
757,236182,1
758,236183,1
759,236184,1
760,236185,1
761,236186,1
762,236187,1
763,236190,1
764,236192,1
765,236194,1
766,236195,1
767,236196,1
768,236197,1
769,236198,1
770,236199,1
771,236200,1
772,236201,1
773,236202,1
774,236204,1
775,236205,1
776,236206,1
777,236207,1
778,236208,1
779,236209,1
780,236210,1
781,236211,1
782,236212,1
783,236213,1
784,236214,1
785,236215,1
786,236216,1
787,236217,1
788,236218,1
789,236219,1
790,236220,1
791,236221,1
792,236222,1
793,236223,1
794,236224,1
795,236225,1
796,236291,1
797,236292,1
798,236534,1
799,236535,1
800,236536,1
801,236537,1
802,236539,1
803,236540,1
804,236541,1
805,236611,1
806,236613,1
807,237076,1
808,237077,1
809,237078,1
810,237079,1
811,237080,1
812,237082,1
813,237083,1
814,237084,1
815,237085,1
816,237086,1
817,242515,1
818,242744,1
819,242745,1
820,242746,1
821,242747,1
822,242748,1
823,242749,1
824,242755,1
825,242757,1
826,242758,1
827,242759,1
828,242760,1
829,242761,1
830,242762,1
831,242770,1
832,242771,1
833,242773,1
834,242774,1
835,242775,1
836,242776,1
837,242777,1
838,252007,1
839,252008,1
840,252428,1
841,252429,1
842,252430,1
843,252431,1
844,252432,1
845,252433,1
846,252434,1
847,252435,1
848,252436,1
849,252437,1
850,252438,1
851,252439,1
852,252440,1
853,252441,1
854,252442,1
855,252443,1
856,252444,1
857,252445,1
858,252446,1
859,252447,1
860,252448,1
861,252449,1
862,252450,1
863,252452,1
864,252453,1
865,252454,1
866,252455,1
867,252456,1
868,252457,1
869,252459,1
870,252460,1
871,252461,1
872,252462,1
873,252463,1
874,252464,1
875,252465,1
876,252466,1
877,252468,1
878,252469,1
879,252470,1
880,252471,1
881,252472,1
882,252473,1
883,252474,1
884,252475,1
885,252476,1
886,252477,1
887,252478,1
888,252479,1
889,252480,1
890,252481,1
891,252482,1
892,252483,1
893,252484,1
894,252485,1
895,252486,1
896,252487,1
897,252488,1
898,252489,1
899,252490,1
900,252491,1
901,252492,1
902,252493,1
903,257684,1
904,257685,1
905,258213,1
906,258217,1
907,258218,1
908,258219,1
909,258220,1
910,258221,1
911,258222,1
912,258223,1
913,258232,1
914,258233,1
915,258234,1
916,258235,1
917,258236,1
918,258237,1
919,258238,1
920,258239,1
921,258240,1
922,258241,1
923,258321,1
924,258322,1
925,258323,1
926,258324,1
927,258325,1
928,258326,1
929,258327,1
930,258328,1
931,258329,1
932,258330,1
933,258331,1
934,258333,1
935,258334,1
936,258335,1
937,258336,1
938,258337,1
939,258338,1
940,258339,1
941,258340,1
942,258341,1
943,258342,1
944,258343,1
945,258344,1
946,258345,1
947,258346,1
948,258347,1
949,258348,1
950,258349,1
951,258350,1
952,258356,1
953,258357,1
954,258358,1
955,258359,1
956,258360,1
957,258361,1
958,258362,1
959,258367,1
960,258368,1
961,258369,1
962,258370,1
963,258371,1
964,258372,1
965,258373,1
966,258380,1
967,258381,1
968,258382,1
969,258383,1
971,258386,1
972,258439,1
973,276814,1
974,286581,1
975,286582,1
976,286583,1
977,258385,1
978,225960,1
979,225961,1
980,225962,1
981,225963,1
982,225964,1
983,225965,1
984,225966,1
985,225952,1
986,225953,1
987,225954,1
988,225955,1
989,225956,1
990,225957,1
991,225958,1
992,225959,1
993,225933,1
994,225934,1
995,225935,1
996,225936,1
997,225937,1
998,225938,1
999,225939,1
1000,225940,1
1001,225941,1
1002,225942,1
1003,225943,1
1004,225944,1
1005,225945,1
1006,225946,1
1007,225948,1
1008,225949,1
1009,225950,1
1010,225951,1
1011,116668,1
1012,116669,1
1013,225890,1
1014,225891,1
1015,225892,1
1016,225894,1
1017,225895,1
1018,225896,1
1019,225897,1
1020,225898,1
1021,225899,1
1022,225900,1
1023,225901,1
1024,225902,1
1025,225903,1
1026,225904,1
1027,225905,1
1028,225907,1
1029,225908,1
1030,225909,1
1031,225910,1
1032,225911,1
1033,225912,1
1034,225913,1
1035,225914,1
1036,225916,1
1037,225917,1
1038,225918,1
1039,225926,1
1040,225927,1
1041,225928,1
1042,225929,1
1043,225930,1
1044,225931,1
1045,225932,1
1046,225893,1
1047,116613,1
1048,116612,1
1049,116611,1
1050,116610,1
1051,116609,1
1052,116608,1
1053,13039,1
1054,13042,1
1055,13171,1
1056,13173,1
1057,80704,1
1058,13174,1
1059,87157,1
1060,87158,1
1061,87159,1
1062,87160,1
1063,236538,1
1064,288597,1
1065,288598,1
1066,288599,1
1067,288600,1
1068,288601,1
1069,288602,1
1070,288603,1
1071,225732,1
1072,225733,1
1073,225734,1
1074,225735,1
1075,225736,1
1076,225737,1
1077,225738,1
1078,225739,1
1079,225740,1
1080,225741,1
1081,225742,1
1082,225743,1
1083,225744,1
1084,225745,1
1085,225746,1
1086,225747,1
