#NUM,#RR_PRICE,#MA_PRICE,#IN_STOCK
00000102740,59132,59130,1
00000102580,690,690,1
00000102554,14900,14900,1
00000102553,14900,14900,1
00000102552,14900,14900,1
00000102545,2400,2400,1
00000102544,2400,2400,1
00000102543,2400,2400,1
00000102518,28800,25920,1
00000102517,19900,17910,1
00000102516,23850,21470,1
00000102497,107,110,1
00000102496,107,110,1
00000102381,3190,3190,1
00000102380,2390,2390,1
00000102377,164,164,1
00000102376,164,164,1
00000102375,293,293,1
00000102374,43,43,1
00000102373,146,146,1
00000102358,164,164,1
00000102357,164,164,1
00000102344,9450,8510,1
00000102304,22210,19990,0
00000102303,350,350,1
00000102302,250,250,1
00000102301,90,90,1
00000102299,11450,10310,1
00000102240,4578,4580,1
00000102148,11300,11300,1
00000102147,10900,10900,1
00000102139,825,825,1
00000102125,14244,14240,1
00000102124,9650,9650,1
00000102098,980,980,1
00000102049,23930,23930,1
00000102048,17680,17680,1
00000102047,21200,21200,1
00000102046,15650,15650,1
00000102001,99454,99450,0
00000102000,83494,83490,0
00000101999,65218,65220,0
00000101998,41539,41540,0
00000101997,28924,28920,0
00000101996,16309,16310,0
00000101995,83224,83220,0
00000101994,69969,69970,0
00000101993,54154,54150,0
00000101992,34838,34840,0
00000101991,24538,24540,0
00000101990,14238,14240,0
00000101946,522,520,1
00000101917,62332,62330,1
00000101916,873,870,1
00000101915,873,870,1
00000101914,873,870,1
00000101913,366,370,1
00000101912,366,370,1
00000101911,366,370,1
00000101910,366,370,1
00000101909,3211,3210,1
00000101908,3211,3210,1
00000101907,2820,2820,1
00000101906,4409,4410,1
00000101905,3329,3330,1
00000101898,43,43,1
00000101897,43,43,1
00000101896,43,43,1
00000101895,59,59,1
00000101894,59,59,1
00000101893,501,500,1
00000101892,509,510,1
00000101891,501,500,1
00000101890,557,560,1
00000101889,286,290,1
00000101888,223,220,1
00000101887,147,150,1
00000101886,140,140,1
00000101884,318,320,1
00000101883,557,560,1
00000101882,557,560,1
00000101881,193,190,1
00000101880,116,120,1
00000101879,116,120,1
00000101828,873,870,1
00000101808,3185,3190,1
00000101807,3185,3190,1
00000101804,3562,3560,1
00000101775,2995,3000,1
00000101773,2659,2660,1
00000101771,1914,1910,1
00000101769,2659,2660,1
00000101767,1914,1910,1
00000101755,480,480,1
00000101753,1909,1910,1
00000101752,1583,1580,1
00000101751,2269,2270,1
00000101750,1807,1810,1
00000101749,2500,2500,1
00000101748,2129,2130,1
00000101747,11514,11510,1
00000101746,3246,3250,1
00000101745,2054,2050,1
00000101744,2742,2740,1
00000101743,1832,1830,1
00000101742,2474,2470,1
00000101741,4129,4130,1
00000101740,6955,6960,0
00000101739,5288,5290,1
00000101733,500,500,0
00000101732,14900,14900,1
00000101729,2400,2400,1
00000101724,124318,124320,1
00000101723,3329,3330,1
00000101722,4675,4680,1
00000101721,1505,1510,1
00000101720,5570,5570,1
00000101719,751,750,1
00000101658,872,870,1
00000101648,1120000,1120000,0
00000101647,850000,850000,1
00000101646,960000,960000,1
00000101630,292,290,1
00000101629,292,290,1
00000101628,292,290,1
00000101627,292,290,1
00000101585,88500,79650,1
00000101584,68500,61650,1
00000101566,254875,229390,1
00000101558,2130,2130,1
00000101518,12749,12750,1
00000101517,18653,18650,1
00000101502,49569,49570,0
00000101501,35934,35930,0
00000101499,22299,22300,0
00000101498,22189,22190,0
00000101497,49459,49460,0
00000101496,57928,57930,0
00000101495,41588,41590,0
00000101494,22299,22300,0
00000101455,289,290,1
00000101454,289,290,1
00000101453,289,290,1
00000101417,670,670,1
00000101416,383,380,1
00000101415,255,260,1
00000101412,63570,57210,0
00000101410,67245,60520,1
00000101409,59815,53830,1
00000101397,11514,11510,1
00000101386,1935,1940,1
00000101385,1394,1390,1
00000101384,931,930,1
00000101325,6000,6000,0
00000101324,207725,186950,1
00000101323,181705,163530,1
00000101322,54250,54250,0
00000101321,34913,34910,0
00000101320,24613,24610,0
00000101316,14313,14310,0
00000101284,35824,35820,0
00000101273,211800,190620,1
00000101272,383,380,1
00000101271,383,380,1
00000101270,501,500,1
00000101269,442,440,1
00000101268,442,440,1
00000101267,442,440,1
00000101266,442,440,1
00000101265,491,490,1
00000101264,442,440,1
00000101263,442,440,1
00000101262,442,440,1
00000101261,442,440,1
00000101260,442,440,1
00000101259,442,440,1
00000101258,442,440,1
00000101257,465,470,1
00000101256,465,470,1
00000101255,465,470,1
00000101254,465,470,1
00000101253,465,470,1
00000101252,465,470,1
00000101251,465,470,1
00000101250,465,470,1
00000101249,406,410,1
00000101248,406,410,1
00000101247,406,410,1
00000101246,406,410,1
00000101245,406,410,1
00000101244,406,410,1
00000101243,406,410,1
00000101242,406,410,1
00000101241,406,410,1
00000101240,31,31,1
00000101239,31,31,1
00000101238,143,140,1
00000101237,143,140,1
00000101236,258,260,1
00000101235,284,284,1
00000101234,76,76,1
00000101233,158,160,1
00000101232,653,650,1
00000101231,653,650,1
00000101230,653,650,1
00000101229,653,650,1
00000101228,1372,1370,1
00000101227,1560,1560,1
00000101226,1678,1680,1
00000101225,6699,6700,1
00000101224,6127,6130,1
00000101223,4961,4960,1
00000101222,4710,4710,1
00000101221,3645,3650,1
00000101220,2202,2200,1
00000101219,2890,2890,1
00000101218,1997,2000,1
00000101217,2685,2690,1
00000101124,195150,195150,1
00000101123,12500,12500,1
00000101122,4850,4850,0
00000101121,6000,6000,1
00000101063,7500,7500,0
00000100905,46401,46400,0
00000100904,32766,32770,0
00000100903,19131,19130,0
00000100902,39952,39950,0
00000100901,28632,28630,0
00000100900,17312,17310,0
00000100899,95388,95390,0
00000100898,80068,80070,0
00000100897,64748,64750,0
00000100896,41281,41280,0
00000100895,28666,28670,0
00000100894,16051,16050,0
00000100892,79126,79130,0
00000100891,66511,66510,0
00000100890,53896,53900,0
00000100889,34312,34310,0
00000100888,24012,24010,0
00000100887,13712,13710,0
00000100884,2288,2290,0
00000100833,8803,8800,1
00000100831,3211,3210,1
00000100830,8037,8040,1
00000100829,3211,3210,1
00000100761,413,410,1
00000100760,413,410,1
00000100759,413,410,1
00000100758,413,410,1
00000100757,413,410,1
00000100756,413,410,1
00000100755,413,410,1
00000100754,413,410,1
00000100753,535,540,1
00000100750,5400,5400,1
00000100749,1280,1280,0
00000100661,482,480,1
00000100660,984,980,1
00000100659,984,980,1
00000100658,1310,1310,1
00000100657,1027,1030,1
00000100656,802,800,1
00000100655,1203,1200,1
00000100654,1203,1200,0
00000100653,1548,1550,1
00000100652,1310,1310,1
00000100651,1615,1620,0
00000100642,12359,12360,1
00000100605,455855,410270,1
00000100562,232350,209120,1
00000100560,873,870,1
00000100559,873,870,1
00000100558,873,870,1
00000100557,466,470,0
00000100556,466,470,0
00000100555,466,470,1
00000100554,466,470,1
00000100553,18313,18310,1
00000100552,18313,18310,1
00000100551,1648,1650,1
00000100548,68,68,1
00000100547,3407,3410,1
00000100546,3407,3410,1
00000100545,2921,2920,1
00000100544,2355,2360,1
00000100540,834,830,1
00000100511,2474,2470,0
00000100510,2269,2270,1
00000100509,2742,2740,0
00000100508,2500,2500,1
00000100506,1832,1830,0
00000100504,1583,1580,0
00000100503,1807,1810,0
00000100502,2054,2050,1
00000100492,4466,4470,0
00000100491,5664,5660,1
00000100444,137905,124110,1
00000100440,1284,1280,1
00000100439,4989,4990,1
00000100438,6427,6430,0
00000100437,8409,8410,1
00000100436,6119,6120,1
00000100435,5642,5640,0
00000100434,2968,2970,1
00000100433,1284,1280,0
00000100429,1284,1280,0
00000100428,1340,1340,1
00000100427,45330,45330,1
00000100426,2736,2740,1
00000100417,5517,5520,1
00000100415,3448,3450,1
00000100414,645,650,1
00000100413,2814,2810,1
00000100412,1468,1470,1
00000100411,854,850,1
00000100410,745,750,1
00000100409,1121,1120,1
00000100408,745,750,1
00000100407,745,750,1
00000100406,745,750,1
00000100405,745,750,1
00000100404,745,750,1
00000100343,21420,21420,0
00000100335,6300,6300,1
00000100334,1484,1480,0
00000100333,3649,3650,1
00000100298,3143,3140,1
00000100216,72285,65060,1
00000100215,257475,231730,1
00000100214,239495,215550,1
00000100212,148380,133540,1
00000100211,61825,55640,1
00000100203,16126,16130,1
00000100202,12732,12730,1
00000100191,3590,3590,1
00000100190,3590,3590,1
00000100189,3590,3590,1
00000100188,192,190,0
00000100158,7492,7490,0
00000100114,2411,2410,1
00000100113,64781,64780,0
00000100112,64781,64780,0
00000100111,64781,64780,0
00000100110,64781,64780,1
00000100087,13476,13480,1
00000100086,13410,13410,0
00000100039,400,400,1
00000100012,590,590,0
00000100011,291,290,0
00000100009,571,570,0
00000100008,261,260,0
00000099996,426,430,0
00000099995,387,390,0
00000099994,426,430,0
00000099993,496,500,0
00000099992,477,480,0
00000099991,477,480,1
00000099990,313,310,1
00000099989,293,290,0
00000099988,313,310,1
00000099987,160,160,1
00000099986,160,160,0
00000099985,160,160,1
00000099984,160,160,0
00000099983,215,220,1
00000099982,215,220,0
00000099981,799,800,0
00000099980,752,750,1
00000099979,799,800,0
00000099978,466,470,0
00000099977,466,470,0
00000099976,466,470,1
00000099975,320,320,0
00000099974,320,320,1
00000099973,320,320,0
00000099972,320,320,0
00000099971,320,320,0
00000099970,344,340,1
00000099969,344,340,0
00000099968,392,390,1
00000099967,392,390,1
00000099966,392,390,0
00000099965,392,390,1
00000099964,241,240,1
00000099963,280,280,0
